ac002d2,ac002d3,ac002d1,mergeid
0.0,0.0,0.0,AT-217699-01
0.0,0.0,1.0,AT-219024-01
-1.0,-1.0,-1.0,AT-220315-01
0.0,1.0,0.0,AT-220811-01
0.0,1.0,0.0,AT-221492-01
0.0,1.0,0.0,AT-221608-01
0.0,0.0,0.0,AT-221918-01
0.0,0.0,0.0,AT-221918-02
0.0,0.0,0.0,AT-222414-01
0.0,1.0,0.0,AT-223215-01
0.0,0.0,0.0,AT-223704-01
0.0,0.0,0.0,AT-224983-01
0.0,0.0,0.0,AT-224983-02
0.0,0.0,0.0,AT-225255-01
0.0,0.0,0.0,AT-225255-02
0.0,0.0,0.0,AT-227025-01
0.0,1.0,0.0,AT-227025-02
0.0,0.0,0.0,AT-227289-01
0.0,0.0,0.0,AT-227289-02
0.0,0.0,0.0,AT-228658-01
0.0,1.0,0.0,AT-228688-01
0.0,1.0,0.0,AT-228688-02
0.0,0.0,0.0,AT-228726-01
0.0,0.0,1.0,AT-228726-02
0.0,0.0,0.0,AT-229037-01
0.0,0.0,0.0,AT-231168-01
0.0,1.0,0.0,AT-233122-01
0.0,0.0,0.0,AT-236120-01
1.0,0.0,0.0,AT-236120-02
-1.0,-1.0,-1.0,AT-236120-03
0.0,0.0,0.0,AT-238006-01
0.0,1.0,0.0,AT-238747-01
0.0,0.0,0.0,AT-238813-01
0.0,0.0,0.0,AT-238813-02
0.0,1.0,1.0,AT-239703-01
0.0,1.0,0.0,AT-239703-02
0.0,0.0,0.0,AT-240854-01
0.0,1.0,0.0,AT-240854-02
0.0,1.0,0.0,AT-245412-01
0.0,0.0,0.0,AT-246517-01
0.0,1.0,0.0,AT-247602-01
0.0,0.0,0.0,AT-247602-02
1.0,1.0,0.0,AT-248263-01
0.0,0.0,0.0,AT-248289-01
0.0,0.0,0.0,AT-248584-01
0.0,0.0,0.0,AT-248729-01
0.0,1.0,1.0,AT-249513-01
0.0,0.0,0.0,AT-249513-02
0.0,1.0,0.0,AT-249810-01
0.0,0.0,0.0,AT-249810-02
0.0,0.0,0.0,AT-252539-01
0.0,0.0,0.0,AT-252650-02
0.0,0.0,0.0,AT-253577-01
0.0,0.0,0.0,AT-254903-01
0.0,0.0,0.0,AT-257590-01
0.0,0.0,0.0,AT-258685-01
0.0,1.0,0.0,AT-258975-01
1.0,0.0,0.0,AT-260914-01
-1.0,-1.0,-1.0,AT-260914-02
0.0,0.0,0.0,AT-260919-01
0.0,0.0,0.0,AT-261010-01
0.0,0.0,0.0,AT-262110-01
0.0,0.0,0.0,AT-262315-01
1.0,0.0,0.0,AT-262315-02
0.0,0.0,0.0,AT-262650-01
0.0,0.0,0.0,AT-263677-01
0.0,0.0,0.0,AT-263677-02
0.0,0.0,0.0,AT-264976-01
0.0,0.0,1.0,AT-265464-01
0.0,1.0,0.0,AT-265464-02
0.0,0.0,0.0,AT-265900-01
0.0,1.0,1.0,AT-268148-01
0.0,0.0,0.0,AT-268425-01
0.0,0.0,0.0,AT-268425-02
0.0,1.0,0.0,AT-268531-01
0.0,1.0,0.0,AT-270421-01
0.0,0.0,0.0,AT-270421-02
0.0,0.0,0.0,AT-272367-01
0.0,0.0,0.0,AT-273841-01
0.0,0.0,0.0,AT-273841-02
0.0,0.0,0.0,AT-274305-01
0.0,0.0,0.0,AT-274631-01
0.0,1.0,0.0,AT-274631-02
0.0,1.0,0.0,AT-274760-01
0.0,0.0,0.0,AT-276249-01
0.0,0.0,0.0,AT-276249-02
0.0,0.0,0.0,AT-276712-01
0.0,0.0,0.0,AT-276712-02
0.0,0.0,0.0,AT-277543-01
0.0,0.0,0.0,AT-277572-01
0.0,1.0,0.0,AT-280220-01
0.0,0.0,0.0,AT-280344-01
0.0,1.0,0.0,AT-280457-01
0.0,1.0,1.0,AT-280472-01
0.0,1.0,0.0,AT-280472-02
0.0,1.0,0.0,AT-281690-01
0.0,0.0,0.0,AT-281690-02
0.0,1.0,1.0,AT-282232-01
0.0,1.0,0.0,AT-282232-02
0.0,0.0,0.0,AT-283166-01
1.0,0.0,0.0,AT-285489-01
0.0,0.0,1.0,AT-286728-01
0.0,0.0,0.0,AT-287078-01
0.0,0.0,0.0,AT-289265-01
0.0,0.0,0.0,AT-289265-02
0.0,0.0,0.0,AT-289265-03
0.0,0.0,0.0,AT-289986-01
1.0,0.0,1.0,AT-290108-01
0.0,0.0,1.0,AT-290108-02
0.0,0.0,0.0,AT-291256-01
0.0,0.0,0.0,AT-291734-01
0.0,0.0,0.0,AT-293528-01
0.0,0.0,0.0,AT-293568-01
1.0,0.0,0.0,AT-293568-02
0.0,0.0,0.0,AT-293965-01
0.0,0.0,1.0,AT-293993-01
0.0,0.0,0.0,AT-294380-01
0.0,0.0,0.0,AT-294745-01
0.0,0.0,1.0,AT-295147-01
0.0,0.0,0.0,AT-295445-01
0.0,0.0,0.0,AT-295445-02
0.0,0.0,0.0,AT-295758-01
1.0,1.0,0.0,AT-295758-02
0.0,0.0,0.0,AT-298583-01
0.0,1.0,0.0,AT-299090-01
0.0,1.0,1.0,AT-299698-01
0.0,0.0,1.0,AT-299698-02
0.0,0.0,0.0,AT-300769-01
0.0,0.0,0.0,AT-301880-01
0.0,0.0,0.0,AT-302081-01
0.0,0.0,0.0,AT-302081-02
0.0,0.0,0.0,AT-303608-01
0.0,0.0,1.0,AT-303663-01
0.0,0.0,0.0,AT-304422-01
0.0,0.0,0.0,AT-304422-02
0.0,0.0,0.0,AT-304611-01
0.0,1.0,0.0,AT-304611-02
0.0,0.0,0.0,AT-304881-01
0.0,0.0,0.0,AT-306437-01
0.0,0.0,0.0,AT-306632-01
0.0,0.0,0.0,AT-307806-01
0.0,0.0,0.0,AT-308142-01
0.0,0.0,0.0,AT-308142-02
0.0,0.0,0.0,AT-308544-01
0.0,0.0,0.0,AT-308673-01
0.0,0.0,0.0,AT-309494-01
0.0,0.0,0.0,AT-309494-02
0.0,0.0,0.0,AT-309568-01
0.0,1.0,0.0,AT-309689-01
0.0,1.0,0.0,AT-309689-02
0.0,0.0,1.0,AT-309749-01
0.0,0.0,0.0,AT-311699-01
0.0,0.0,0.0,AT-312021-01
0.0,0.0,0.0,AT-312021-02
0.0,0.0,0.0,AT-312475-01
0.0,1.0,0.0,AT-314587-01
0.0,0.0,0.0,AT-315208-01
0.0,0.0,0.0,AT-315208-02
0.0,1.0,0.0,AT-315860-01
0.0,1.0,1.0,AT-315860-02
0.0,0.0,0.0,AT-317255-01
0.0,0.0,0.0,AT-318286-01
0.0,0.0,0.0,AT-320265-01
1.0,1.0,0.0,AT-320787-01
0.0,0.0,0.0,AT-321014-01
0.0,0.0,0.0,AT-323177-01
0.0,0.0,0.0,AT-323177-02
0.0,0.0,0.0,AT-324385-01
0.0,0.0,0.0,AT-327327-01
0.0,0.0,0.0,AT-327537-01
0.0,0.0,0.0,AT-327537-02
0.0,0.0,0.0,AT-327938-01
0.0,0.0,0.0,AT-327938-02
0.0,1.0,0.0,AT-329605-01
0.0,0.0,0.0,AT-330902-01
